Model,R-squared,MSE,RMSE,Avarage R-squared across 10 folds
Initial,0.4160903860211105,0.41361579719657854,0.6431296892513815,0.2716245954130625
Final,0.418023898705176,0.41224618215503145,0.6420640016034472,0.2745380372884046
Model Differences,0.001933512684065497,-0.0013696150415470898,-0.0010656876479342436,0.002913441875342093
