Model,R-squared,MSE,RMSE,Avarage R-squared across 10 folds
Initial,0.5625868186549963,0.476792059174571,0.690501310045514,0.4411435429250103
Final,0.7025659190823326,0.3242110982420911,0.5693953795405184,0.6315812265409788
Model Differences,0.1399791004273363,-0.15258096093247991,-0.12110593050499552,0.19043768361596852
